COMPANY NAME, CIK, SIC, DATE, FILE,SEC LINK
ALABAMA POWER CO,3153,4911,2/22/2017,10-K,http://www.sec.gov/Archives/edgar/data/3153/000000009212217000007/0000092122-17-000007.txt
ALADDIN INTERNATIONAL INC /MN/,921560,6770,10/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/921560/0000155335017001096/0001553350-17-001096.txt
Alamo Energy Corp.,1360334,1382,7/24/2017,10-K,http://www.sec.gov/Archives/edgar/data/1360334/000168316817001843/0001683168-17-001843.txt
ALAMO GROUP INC,897077,3523,3/7/2017,10-K,http://www.sec.gov/Archives/edgar/data/897077/0000089707717000019/0000897077-17-000019.txt
Alarm.com Holdings  Inc.,1459200,7372,3/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/1459200/000145920017000007/0001459200-17-000007.txt
ALASKA AIR GROUP  INC.,766421,4512,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/766421/0000076642117000016/0000766421-17-000016.txt
ALASKA COMMUNICATIONS SYSTEMS GROUP INC,1089511,4813,3/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/1089511/000119312517085233/0001193125-17-085233.txt
ALBANY INTERNATIONAL CORP /DE/,819793,2221,3/1/2017,10-K,http://www.sec.gov/Archives/edgar/data/819793/0000089109217001810/0000891092-17-001810.txt
ALBANY MOLECULAR RESEARCH INC,1065087,8731,3/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/1065087/000114420417015129/0001144204-17-015129.txt
ALBEMARLE CORP,915913,2821,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/915913/0000091591317000010/0000915913-17-000010.txt
ALBIREO PHARMA  INC.,1322505,2834,3/27/2017,10-K,http://www.sec.gov/Archives/edgar/data/1322505/000156459017005341/0001564590-17-005341.txt
Alcentra Capital Corp,1578620,-,3/10/2017,10-K,http://www.sec.gov/Archives/edgar/data/1578620/000114420417013777/0001144204-17-013777.txt
Alcoa Corp,1675149,3350,3/15/2017,10-K,http://www.sec.gov/Archives/edgar/data/1675149/000119312517083862/0001193125-17-083862.txt
ALDER BIOPHARMACEUTICALS INC,1423824,2834,2/23/2017,10-K,http://www.sec.gov/Archives/edgar/data/1423824/000156459017002198/0001564590-17-002198.txt
Aldeyra Therapeutics  Inc.,1341235,2834,3/30/2017,10-K,http://www.sec.gov/Archives/edgar/data/1341235/000119312517104228/0001193125-17-104228.txt
ALERE INC.,1145460,2835,6/5/2017,10-K,http://www.sec.gov/Archives/edgar/data/1145460/000119312517194626/0001193125-17-194626.txt
Aleris Corp,1518587,3341,3/3/2017,10-K,http://www.sec.gov/Archives/edgar/data/1518587/000151858717000008/0001518587-17-000008.txt
Alexander & Baldwin  Inc.,1545654,6500,3/1/2017,10-K,http://www.sec.gov/Archives/edgar/data/1545654/000154565417000003/0001545654-17-000003.txt
ALEXANDERS INC,3499,6798,2/13/2017,10-K,http://www.sec.gov/Archives/edgar/data/3499/000000000349917000004/0000003499-17-000004.txt
ALEXANDRIA REAL ESTATE EQUITIES INC,1035443,6798,1/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/1035443/000103544317000022/0001035443-17-000022.txt
ALEXION PHARMACEUTICALS INC,899866,2834,2/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/899866/0000089986617000044/0000899866-17-000044.txt
Algae Dynamics Corp.,1607679,2833,8/15/2017,10-K,http://www.sec.gov/Archives/edgar/data/1607679/000149315217009349/0001493152-17-009349.txt
Algodon Wines & Luxury Development Group  Inc.,1559998,6552,3/31/2017,10-K,http://www.sec.gov/Archives/edgar/data/1559998/000149315217003130/0001493152-17-003130.txt
ALICO INC,3545,100,12/11/2017,10-K,http://www.sec.gov/Archives/edgar/data/3545/000000000354517000091/0000003545-17-000091.txt
ALIGN TECHNOLOGY INC,1097149,3842,2/28/2017,10-K,http://www.sec.gov/Archives/edgar/data/1097149/000109714917000009/0001097149-17-000009.txt
ALIMERA SCIENCES INC,1267602,2834,3/3/2017,10-K,http://www.sec.gov/Archives/edgar/data/1267602/000126760217000021/0001267602-17-000021.txt
ALJ REGIONAL HOLDINGS INC,1438731,7389,12/19/2017,10-K,http://www.sec.gov/Archives/edgar/data/1438731/000156459017025100/0001564590-17-025100.txt
ALKALINE WATER Co INC,1532390,5140,7/14/2017,10-K,http://www.sec.gov/Archives/edgar/data/1532390/000106299317003236/0001062993-17-003236.txt
Alkermes plc.,1520262,2834,2/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/1520262/000152026217000007/0001520262-17-000007.txt
ALL AMERICAN SPORTPARK INC,930245,5900,4/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/930245/0000126327917000012/0001263279-17-000012.txt
ALL MARKETING SOLUTIONS  INC.,1464300,6794,2/13/2017,10-K,http://www.sec.gov/Archives/edgar/data/1464300/000149473317000008/0001494733-17-000008.txt
ALL MARKETING SOLUTIONS  INC.,1464300,6794,7/3/2017,10-K,http://www.sec.gov/Archives/edgar/data/1464300/000149473317000047/0001494733-17-000047.txt
All Soft Gels Inc,1662382,2833,3/7/2017,10-K,http://www.sec.gov/Archives/edgar/data/1662382/000118518517000534/0001185185-17-000534.txt
All State Properties Holdings  Inc.,745543,2834,10/16/2017,10-K,http://www.sec.gov/Archives/edgar/data/745543/0000137746917000037/0001377469-17-000037.txt
All State Properties Holdings  Inc.,745543,2834,10/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/745543/0000137746917000045/0001377469-17-000045.txt
All State Properties Holdings  Inc.,745543,2834,10/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/745543/0000137746917000055/0001377469-17-000055.txt
All State Properties Holdings  Inc.,745543,2834,10/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/745543/0000137746917000064/0001377469-17-000064.txt
All State Properties Holdings  Inc.,745543,2834,10/17/2017,10-K,http://www.sec.gov/Archives/edgar/data/745543/0000137746917000072/0001377469-17-000072.txt
